date,Total Price
2017-04-13,11213.929999999998
2017-04-14,9532.360000000004
2017-04-15,9391.559999999998
2017-04-16,6514.799999999999
2017-04-17,10765.570000000003
2017-04-18,23433.85999999999
2017-04-19,13941.249999999998
2017-04-20,15722.390000000001
2017-04-21,10109.970000000003
2017-04-22,14865.410000000003
2017-04-23,11681.320000000007
2017-04-24,17711.579999999987
2017-04-25,17167.659999999996
2017-04-26,18696.089999999993
2017-04-27,12390.88999999999
2017-04-28,18063.290000000005
2017-04-29,13687.019999999999
2017-04-30,9437.0
2017-05-01,14796.769999999999
2017-05-02,20307.76999999999
2017-05-03,12136.38
2017-05-04,15813.960000000003
2017-05-05,16342.510000000011
2017-05-06,18592.8
2017-05-07,19724.420000000002
2017-05-08,19022.659999999993
2017-05-09,23886.119999999988
2017-05-10,23249.89999999999
2017-05-11,21182.24999999998
2017-05-12,15103.560000000016
2017-05-13,10666.39
2017-05-14,17540.920000000002
2017-05-15,21420.97
2017-05-16,24364.70000000001
2017-05-17,21396.329999999994
2017-05-18,20856.50999999999
2017-05-19,21517.68
2017-05-20,12354.470000000003
2017-05-21,20368.529999999988
2017-05-22,28906.6
2017-05-23,20617.059999999987
2017-05-24,26595.309999999976
2017-05-25,17786.69
2017-05-26,12495.320000000009
2017-05-27,16057.39000000001
2017-05-28,11107.240000000009
2017-05-29,22027.519999999997
2017-05-30,16681.07000000001
2017-05-31,23271.15
2017-06-01,21762.329999999998
2017-06-02,21603.970000000005
2017-06-03,12265.440000000002
2017-06-04,15898.480000000003
2017-06-05,27018.159999999993
2017-06-06,17307.99000000001
2017-06-07,15397.669999999998
2017-06-08,22100.449999999997
2017-06-09,18589.83
2017-06-10,9807.18
2017-06-11,16609.43
2017-06-12,17290.770000000004
2017-06-13,16579.45000000001
2017-06-14,23373.58999999999
2017-06-15,14916.810000000007
2017-06-16,14777.690000000008
2017-06-17,12746.150000000005
2017-06-18,19733.690000000017
2017-06-19,25933.439999999995
2017-06-20,14069.740000000013
2017-06-21,7271.580000000002
2017-06-22,10609.039999999997
2017-06-23,15698.500000000007
2017-06-24,10013.699999999999
2017-06-25,20734.33999999999
2017-06-26,15200.320000000003
2017-06-27,19575.960000000014
2017-06-28,17051.85000000001
2017-06-29,14275.040000000005
2017-06-30,14750.450000000003
2017-07-01,14139.0
2017-07-02,13672.73000000001
2017-07-03,19258.109999999997
2017-07-04,17940.639999999996
2017-07-05,24138.210000000003
2017-07-06,25716.309999999994
2017-07-07,16206.860000000006
2017-07-08,11897.07
2017-07-09,10075.68
2017-07-10,20397.339999999997
2017-07-11,23870.57
2017-07-12,22443.869999999995
2017-07-13,17986.74999999999
2017-07-14,21833.260000000006
2017-07-15,13128.060000000005
2017-07-16,16005.240000000003
2017-07-17,25363.54999999999
2017-07-18,32186.329999999976
2017-07-19,19710.43
2017-07-20,22410.97
2017-07-21,15785.66
2017-07-22,13318.540000000003
2017-07-23,14005.720000000005
2017-07-24,22860.14
2017-07-25,20563.459999999995
2017-07-26,13899.480000000001
2017-07-27,18729.079999999994
2017-07-28,23276.300000000014
2017-07-29,18371.910000000003
2017-07-30,15341.680000000006
2017-07-31,20438.66999999999
2017-08-01,25413.329999999994
2017-08-02,21122.26999999999
2017-08-03,22219.039999999983
2017-08-04,21629.610000000008
2017-08-05,14465.840000000007
2017-08-06,16965.110000000004
2017-08-07,26629.340000000004
2017-08-08,21527.549999999996
2017-08-09,24018.020000000004
2017-08-10,23323.209999999992
2017-08-11,23319.800000000003
2017-08-12,16194.089999999998
2017-08-13,14491.449999999997
2017-08-14,21588.19999999999
2017-08-15,27940.67000000001
2017-08-16,27997.93999999998
2017-08-17,21737.94999999999
2017-08-18,20025.87
2017-08-19,15158.900000000003
2017-08-20,14955.170000000007
2017-08-21,26019.719999999983
2017-08-22,19749.47000000001
2017-08-23,18593.789999999994
2017-08-24,15982.510000000004
2017-08-25,17403.72
2017-08-26,12054.65
2017-08-27,16295.460000000005
2017-08-28,25696.590000000004
2017-08-29,37025.68999999999
2017-08-30,34964.65
2017-08-31,23694.98999999999
2017-09-01,32450.779999999977
2017-09-02,20479.179999999993
2017-09-03,30950.79000000002
2017-09-04,28385.22000000002
2017-09-05,24528.970000000005
2017-09-06,28821.829999999998
2017-09-07,19096.76
2017-09-08,14523.410000000005
2017-09-09,17675.74999999999
2017-09-10,20821.00000000001
2017-09-11,26985.649999999983
2017-09-12,32236.939999999948
2017-09-13,31877.689999999973
2017-09-14,26502.509999999995
2017-09-15,21556.670000000006
2017-09-16,24040.310000000005
2017-09-17,22826.039999999997
2017-09-18,32535.24999999999
2017-09-19,23425.659999999993
2017-09-20,26032.149999999998
2017-09-21,22458.18999999999
2017-09-22,19034.929999999997
2017-09-23,12433.790000000003
2017-09-24,15517.690000000004
2017-09-25,20944.589999999993
2017-09-26,25241.659999999996
2017-09-27,24083.230000000003
2017-09-28,26349.100000000002
2017-09-29,33703.99999999998
2017-09-30,14879.170000000006
2017-10-01,21909.429999999993
2017-10-02,25178.30000000002
2017-10-03,30389.11999999999
2017-10-04,24787.579999999987
2017-10-05,29129.829999999987
2017-10-06,19998.47999999999
2017-10-07,17748.51
2017-10-08,19424.089999999997
2017-10-09,34989.53
2017-10-10,31965.459999999992
2017-10-11,25916.40000000001
2017-10-12,22201.28
2017-10-13,26405.409999999993
2017-10-14,16185.460000000003
2017-10-15,21299.15
2017-10-16,35107.629999999976
2017-10-17,34756.270000000004
2017-10-18,31501.85999999997
2017-10-19,26909.609999999982
2017-10-20,21563.079999999998
2017-10-21,17552.040000000005
2017-10-22,23234.369999999984
2017-10-23,25835.519999999993
2017-10-24,25738.659999999985
2017-10-25,20731.589999999993
2017-10-26,26317.76999999999
2017-10-27,23152.450000000004
2017-10-28,18922.480000000003
2017-10-29,20283.600000000006
2017-10-30,23330.879999999994
2017-10-31,26846.52999999999
2017-11-01,22066.989999999994
2017-11-02,24082.939999999988
2017-11-03,26036.149999999998
2017-11-04,22294.81
2017-11-05,20901.95
2017-11-06,33149.60999999998
2017-11-07,24610.719999999987
2017-11-08,23262.880000000016
2017-11-09,28901.639999999992
2017-11-10,23603.569999999996
2017-11-11,26670.94
2017-11-12,26529.30999999999
2017-11-13,29334.23999999998
2017-11-14,31356.869999999988
2017-11-15,27546.25
2017-11-16,32918.090000000004
2017-11-17,34192.17
2017-11-18,27205.379999999994
2017-11-19,23312.609999999997
2017-11-20,50065.86999999996
2017-11-21,39276.16999999999
2017-11-22,29951.160000000033
2017-11-23,51499.459999999934
2017-11-24,178377.6299999996
2017-11-25,71858.16000000002
2017-11-26,53595.19999999996
2017-11-27,56644.85000000002
2017-11-28,56248.46999999997
2017-11-29,47031.590000000026
2017-11-30,36618.090000000004
2017-12-01,45973.81999999996
2017-12-02,35713.18
2017-12-03,34207.41999999994
2017-12-04,54260.11999999995
2017-12-05,39560.42000000001
2017-12-06,45490.21999999999
2017-12-07,32920.88
2017-12-08,34362.21999999998
2017-12-09,23639.51999999999
2017-12-10,28617.280000000002
2017-12-11,39415.42999999995
2017-12-12,38557.37999999999
2017-12-13,34382.62999999997
2017-12-14,29580.869999999977
2017-12-15,31451.63
2017-12-16,22907.060000000005
2017-12-17,22106.000000000015
2017-12-18,33810.609999999986
2017-12-19,24128.289999999986
2017-12-20,32004.669999999995
2017-12-21,21532.949999999986
2017-12-22,17208.040000000008
2017-12-23,15357.090000000004
2017-12-24,6960.790000000002
2017-12-25,12662.23
2017-12-26,23787.73999999999
2017-12-27,21027.51
2017-12-28,17782.04999999999
2017-12-29,18765.65
2017-12-30,15189.489999999996
2017-12-31,10184.039999999997
2018-01-01,8391.919999999996
2018-01-02,29410.510000000006
2018-01-03,36746.079999999965
2018-01-04,39916.15999999998
2018-01-05,32227.35999999999
2018-01-06,32581.27999999999
2018-01-07,33918.12000000001
2018-01-08,45168.64999999999
2018-01-09,35401.33000000001
2018-01-10,44820.91999999997
2018-01-11,46332.499999999985
2018-01-12,36932.96999999999
2018-01-13,32679.830000000005
2018-01-14,35388.82999999998
2018-01-15,44978.73000000005
2018-01-16,51093.96999999999
2018-01-17,42141.52999999998
2018-01-18,32759.390000000032
2018-01-19,35264.829999999994
2018-01-20,26951.330000000024
2018-01-21,27893.78999999998
2018-01-22,43395.11000000003
2018-01-23,40293.17000000001
2018-01-24,36899.36000000001
2018-01-25,34689.27999999997
2018-01-26,39261.29999999999
2018-01-27,25102.769999999997
2018-01-28,27507.219999999994
2018-01-29,36021.45999999998
2018-01-30,35362.73
2018-01-31,37769.459999999985
2018-02-01,35736.74
2018-02-02,32517.500000000004
2018-02-03,27570.61999999999
2018-02-04,28216.480000000003
2018-02-05,43196.95999999995
2018-02-06,39846.71999999996
2018-02-07,36332.33
2018-02-08,31813.029999999977
2018-02-09,34909.12999999999
2018-02-10,25021.38
2018-02-11,25943.97
2018-02-12,27609.52999999999
2018-02-13,28125.10999999998
2018-02-14,43339.15000000001
2018-02-15,37940.27000000002
2018-02-16,31674.13
2018-02-17,29414.48999999999
2018-02-18,29061.889999999985
2018-02-19,33735.94999999995
2018-02-20,42533.75999999998
2018-02-21,37926.95999999999
2018-02-22,38690.94000000002
2018-02-23,33072.96
2018-02-24,28298.460000000006
2018-02-25,34930.889999999985
2018-02-26,50112.079999999965
2018-02-27,47076.979999999974
2018-02-28,52260.54999999998
2018-03-01,46189.24999999994
2018-03-02,37373.52999999997
2018-03-03,31367.129999999976
2018-03-04,37350.99
2018-03-05,45384.46999999999
2018-03-06,45971.25000000002
2018-03-07,42471.16
2018-03-08,33842.12000000001
2018-03-09,33716.51000000002
2018-03-10,30801.139999999992
2018-03-11,36618.35000000002
2018-03-12,35930.909999999996
2018-03-13,42179.61
2018-03-14,28323.840000000007
2018-03-15,51444.060000000005
2018-03-16,38760.00999999998
2018-03-17,23996.86
2018-03-18,36076.380000000005
2018-03-19,52581.749999999985
2018-03-20,42887.92000000003
2018-03-21,46433.96000000002
2018-03-22,36989.79
2018-03-23,34638.16000000001
2018-03-24,27711.420000000006
2018-03-25,30192.79000000002
2018-03-26,41955.68
2018-03-27,40630.20000000001
2018-03-28,34416.66000000002
2018-03-29,33562.67000000001
2018-03-30,26275.079999999998
2018-03-31,29053.170000000016
2018-04-01,34189.00000000002
2018-04-02,47968.329999999994
2018-04-03,42070.509999999966
2018-04-04,43567.820000000036
2018-04-05,42218.80000000003
2018-04-06,32285.340000000004
2018-04-07,29014.870000000003
2018-04-08,27877.680000000008
2018-04-09,55782.81999999996
2018-04-10,32535.260000000013
2018-04-11,47204.46000000003
2018-04-12,39945.38999999998
2018-04-13,36440.53
2018-04-14,22397.870000000006
2018-04-15,36558.18999999999
2018-04-16,47359.48000000006
2018-04-17,42612.79000000007
2018-04-18,46295.73000000002
2018-04-19,49872.250000000044
2018-04-20,32666.480000000047
2018-04-21,22465.890000000007
2018-04-22,31991.81
2018-04-23,44363.30000000001
2018-04-24,49905.049999999996
2018-04-25,47356.47000000004
2018-04-26,36912.770000000026
2018-04-27,46763.07000000003
2018-04-28,26978.519999999993
2018-04-29,23060.95
2018-04-30,41036.61000000002
2018-05-01,38441.68000000001
2018-05-02,44764.32
2018-05-03,49575.72000000005
2018-05-04,45494.10000000001
2018-05-05,32608.150000000005
2018-05-06,32994.23000000001
2018-05-07,62460.209999999985
2018-05-08,54720.09000000003
2018-05-09,50968.64000000003
2018-05-10,58871.89
2018-05-11,43250.01000000001
2018-05-12,34712.37
2018-05-13,36202.28999999999
2018-05-14,62230.71999999999
2018-05-15,49506.01999999997
2018-05-16,64739.08999999995
2018-05-17,35966.72999999998
2018-05-18,36429.77999999996
2018-05-19,28319.730000000014
2018-05-20,23086.120000000006
2018-05-21,29665.969999999998
2018-05-22,32070.67999999997
2018-05-23,20262.290000000008
2018-05-24,22274.669999999987
2018-05-25,18137.37000000001
2018-05-26,16914.09
2018-05-27,14693.68
2018-05-28,30304.949999999993
2018-05-29,29430.630000000023
2018-05-30,22529.08000000002
2018-05-31,28156.520000000008
2018-06-01,37282.66999999997
2018-06-02,28939.99000000003
2018-06-03,32869.90000000001
2018-06-04,34326.40000000003
2018-06-05,36101.71999999996
2018-06-06,32176.980000000032
2018-06-07,42676.38000000002
2018-06-08,31797.200000000033
2018-06-09,34033.770000000026
2018-06-10,30288.250000000015
2018-06-11,57313.27999999997
2018-06-12,46762.42999999998
2018-06-13,41586.63000000004
2018-06-14,32707.209999999992
2018-06-15,31498.760000000028
2018-06-16,29000.079999999994
2018-06-17,20751.520000000004
2018-06-18,41023.40000000002
2018-06-19,40013.59999999999
2018-06-20,34330.27
2018-06-21,33301.98999999999
2018-06-22,28753.159999999993
2018-06-23,21181.109999999993
2018-06-24,29498.580000000005
2018-06-25,41879.91999999995
2018-06-26,37616.53999999996
2018-06-27,32505.93000000001
2018-06-28,38739.049999999996
2018-06-29,25098.690000000017
2018-06-30,18621.700000000004
2018-07-01,29060.699999999993
2018-07-02,29422.430000000004
2018-07-03,31454.600000000006
2018-07-04,41579.799999999996
2018-07-05,33949.47999999998
2018-07-06,22108.67000000001
2018-07-07,11277.240000000002
2018-07-08,17554.74000000001
2018-07-09,23122.169999999995
2018-07-10,22246.770000000004
2018-07-11,22140.620000000014
2018-07-12,32569.709999999995
2018-07-13,32529.399999999994
2018-07-14,26427.020000000008
2018-07-15,34489.40000000001
2018-07-16,37778.13
2018-07-17,35758.410000000025
2018-07-18,48984.14999999998
2018-07-19,44911.24000000005
2018-07-20,38061.84999999996
2018-07-21,25502.080000000013
2018-07-22,32962.26000000001
2018-07-23,47975.619999999995
2018-07-24,48083.43999999999
2018-07-25,47912.59000000005
2018-07-26,41784.71999999997
2018-07-27,33331.129999999976
2018-07-28,30065.119999999988
2018-07-29,36468.27999999999
2018-07-30,45814.01999999999
2018-07-31,53402.24000000007
2018-08-01,48431.02999999999
2018-08-02,45625.65999999998
2018-08-03,49517.579999999994
2018-08-04,41227.80000000001
2018-08-05,42272.070000000036
2018-08-06,65860.42000000003
2018-08-07,58294.38000000005
2018-08-08,51360.5
2018-08-09,46734.86000000001
2018-08-10,39585.28999999998
2018-08-11,30565.73
2018-08-12,36739.74999999999
2018-08-13,45876.909999999974
2018-08-14,51471.37000000004
2018-08-15,52358.65
2018-08-16,42217.30999999995
2018-08-17,37638.99000000001
2018-08-18,28698.100000000017
2018-08-19,29966.50000000002
2018-08-20,39851.87000000002
2018-08-21,30830.689999999988
2018-08-22,24262.610000000033
2018-08-23,19540.559999999994
2018-08-24,11313.390000000005
2018-08-25,11737.759999999993
2018-08-26,9333.159999999996
2018-08-27,6111.61
2018-08-28,4121.219999999999
2018-08-29,1762.7
2018-08-30,0.0
2018-08-31,0.0
2018-09-01,0.0
2018-09-02,0.0
2018-09-03,166.46
